quarter,ntl_mean,ntl_yoy
2018Q1,51.891,
2018Q2,52.24,
2018Q3,53.046,
2018Q4,53.105,
2019Q1,53.15,2.4262396176600864
2019Q2,53.59,2.584226646248089
2019Q3,54.058,1.9077781548090256
2019Q4,54.924,3.4252895207607548
2020Q1,55.214,3.883349012229531
2020Q2,55.806,4.135099832058198
2020Q3,55.845,3.3057086832661176
2020Q4,56.457,2.791129560847727
2021Q1,57.035,3.298076574781761
2021Q2,57.137,2.3850482027022224
2021Q3,57.826,3.5473184707673022
2021Q4,57.865,2.4939334360663867
2022Q1,58.399,2.391513982642235
2022Q2,58.826,2.9560529954320236
2022Q3,58.972,1.9818074914398354
2022Q4,60.013,3.7120884818111044
2023Q1,60.112,2.9332694052980335
2023Q2,60.734,3.243463774521471
2023Q3,61.356,4.042596486468164
2023Q4,61.799,2.9760218619299117
2024Q1,62.339,3.7047511312217063
2024Q2,62.514,2.930813053643755
2024Q3,62.855,2.443118847382486
2024Q4,63.452,2.674800563115909
2025Q1,63.306,1.5511958805883852
2025Q2,62.577,0.10077742585659077
2025Q3,62.918,0.10023068968261217
2025Q4,63.516,0.1008636449599809
2026Q1,63.369,0.09951663349445639
