quarter,ntl_mean,ntl_yoy,elec,mfg,elec_yoy,mfg_yoy,ratio,consumption_index,calls,volume_mt,calls_yoy,volume_yoy,official_gdp,gdp_qoq
2018Q1,51.891,,54.16,61.6,,,,,,,,,5.06,-0.41
2018Q2,52.24,,54.16,62.89,,,,,,,,,5.27,4.21
2018Q3,53.046,,55.88,63.74,,,,,,,,,5.17,3.09
2018Q4,53.105,,56.74,63.7,,,,,,,,,5.18,-1.69
2019Q1,53.15,2.4262396176600864,55.86,63.92,3.138847858197935,3.766233766233773,0.8334182244180709,,8807.0,69623989.0,,,5.07,-0.52
2019Q2,53.59,2.584226646248089,56.99,64.53,5.225258493353047,2.607727778661162,2.003759186871781,,8621.0,64855857.0,,,5.05,4.2
2019Q3,54.058,1.9077781548090256,58.59,65.91,4.849677881173942,3.404455600878564,1.4245090697973617,,9367.0,71781368.0,,,5.02,3.06
2019Q4,54.924,3.4252895207607548,59.12,66.58,4.194571730701435,4.521193092621667,0.927757705714171,,9973.0,74856878.0,,,4.97,-1.74
2020Q1,55.214,3.883349012229531,60.09,67.09,7.572502685284643,4.959324155194,1.5269223080233238,,9989.0,71480784.0,13.421142273191776,2.666889712394971,2.97,-2.41
2020Q2,55.806,4.135099832058198,60.39,67.07,5.965958940164939,3.936153726948688,1.5156824031844305,,9337.0,67410816.0,8.305301009163667,3.939442200262655,-5.32,-4.19
2020Q3,55.845,3.3057086832661176,62.28,68.19,6.298003072196612,3.4592626308602714,1.8206200986336745,,9627.0,64903322.0,2.7757019323155774,-9.581937752983471,-3.49,5.05
2020Q4,56.457,2.791129560847727,63.05,68.76,6.647496617050064,3.274256533493558,2.030230847537573,,9524.0,69691435.0,-4.502155820715936,-6.90042536906228,-2.19,-0.42
2021Q1,57.035,3.298076574781761,63.45,69.46,5.591612581128302,3.5325681919809115,1.5828746331978854,,9602.0,67058842.0,-3.8742616878566394,-6.186196838579727,-0.74,-0.96
2021Q2,57.137,2.3850482027022224,64.99,70.48,7.617155158138744,5.084240345907287,1.4981894324233518,,9611.0,69724161.0,2.9345614222983762,3.4317119080712555,7.07,3.31
2021Q3,57.826,3.5473184707673022,65.43,70.77,5.0578034682081,3.783545974483049,1.3367892189810524,-0.3870548842063495,9886.0,70023344.0,2.6903500571309857,7.888690196782222,3.51,1.55
2021Q4,57.865,2.4939334360663867,65.44,71.69,3.790642347343387,4.261198371146002,0.8895719037656385,0.3545439625081352,10801.0,77146424.0,13.408231835363281,10.697138034250543,5.02,1.06
2022Q1,58.399,2.391513982642235,67.14,72.01,5.81560283687943,3.671177656205016,1.5841246001946847,0.41806509702975164,10830.0,78969622.0,12.789002291189334,17.76168458143075,5.01,-0.96
2022Q2,58.826,2.956052995432024,67.15,72.82,3.32358824434531,3.320090805902365,1.001053416501961,0.9829261067122314,10545.0,78147668.0,9.718031422328588,12.081188040398217,5.44,3.72
2022Q3,58.972,1.9818074914398356,69.32,73.7,5.945285037444581,4.140172389430563,1.4359993928325994,-0.007145980194915844,11884.0,92927401.0,20.210398543394703,32.70917338652093,5.72,1.83
2022Q4,60.013,3.712088481811104,69.6,73.15,6.35696821515892,2.036546240758841,3.121445557155746,0.09102043605314562,12251.0,89928786.0,13.424682899731511,16.56896241878949,5.01,0.36
2023Q1,60.112,2.933269405298033,70.45,74.52,4.929997021149846,3.485626996250501,1.414378826665348,0.44946489119750455,11860.0,84495576.0,9.510618651892887,6.997569267838211,5.03,-0.92
2023Q2,60.734,3.243463774521471,71.04,75.13,5.7930007446016285,3.1722054380664666,1.826174520441084,0.42400275867850445,11488.0,83252776.0,8.942626837363687,6.5326427910811,5.17,3.86
2023Q3,61.356,4.042596486468164,73.38,75.73,5.85689555683786,2.754409769335142,2.126370455856898,-0.2405979916078694,12544.0,86854008.0,5.553685627734772,-6.535632046784567,4.94,1.6
2023Q4,61.799,2.976021861929912,73.35,76.66,5.387931034482762,4.798359535201624,1.1228693879555995,0.036138066513235666,12576.0,91990515.0,2.6528446657415827,2.2926240770113404,5.04,0.45
2024Q1,62.339,3.7047511312217054,74.14,78.48,5.237757274662869,5.31400966183575,0.9856506871411032,-0.18076589344644467,12066.0,86984107.0,1.7369308600337252,2.9451612945984307,5.11,-0.83
2024Q2,62.514,2.930813053643755,75.2,77.73,5.8558558558558405,3.460668175163062,1.6921171171171072,-0.34309557001660823,11793.0,86873847.0,2.654944289693595,4.349489799595396,5.05,3.79
2024Q3,62.855,2.443118847382486,76.88,79.62,4.7696920141728105,5.136669747788192,0.9285572653812524,-0.7496638194156238,11939.0,87200826.0,-4.823022959183676,0.39931145146461233,4.95,1.5
2024Q4,63.452,2.674800563115909,77.79,78.68,6.0531697341513535,2.6350117401513278,2.2972078802972327,-0.3486441893845997,12456.0,93118881.0,-0.9541984732824416,1.2266112435613596,5.02,0.53
