quarter,elec,mfg,elec_yoy,mfg_yoy,ratio
2018Q1,54.16,61.6,,,
2018Q2,54.16,62.89,,,
2018Q3,55.88,63.74,,,
2018Q4,56.74,63.7,,,
2019Q1,55.86,63.92,3.138847858197935,3.766233766233773,0.8334182244180709
2019Q2,56.99,64.53,5.225258493353047,2.607727778661162,2.0037591868717812
2019Q3,58.59,65.91,4.849677881173942,3.4044556008785642,1.4245090697973617
2019Q4,59.12,66.58,4.194571730701435,4.521193092621667,0.927757705714171
2020Q1,60.09,67.09,7.572502685284643,4.959324155194,1.5269223080233238
2020Q2,60.39,67.07,5.965958940164939,3.936153726948688,1.5156824031844303
2020Q3,62.28,68.19,6.298003072196612,3.4592626308602714,1.8206200986336745
2020Q4,63.05,68.76,6.647496617050064,3.274256533493558,2.0302308475375734
2021Q1,63.45,69.46,5.591612581128302,3.5325681919809115,1.5828746331978854
2021Q2,64.99,70.48,7.617155158138744,5.084240345907287,1.4981894324233518
2021Q3,65.43,70.77,5.0578034682081,3.783545974483049,1.3367892189810524
2021Q4,65.44,71.69,3.790642347343387,4.261198371146002,0.8895719037656385
2022Q1,67.14,72.01,5.81560283687943,3.671177656205016,1.5841246001946847
2022Q2,67.15,72.82,3.32358824434531,3.320090805902365,1.0010534165019607
2022Q3,69.32,73.7,5.945285037444581,4.140172389430563,1.4359993928325994
2022Q4,69.6,73.15,6.35696821515892,2.036546240758841,3.121445557155746
2023Q1,70.45,74.52,4.929997021149846,3.4856269962505015,1.4143788266653479
2023Q2,71.04,75.13,5.7930007446016285,3.1722054380664666,1.826174520441084
2023Q3,73.38,75.73,5.85689555683786,2.754409769335142,2.126370455856898
2023Q4,73.35,76.66,5.3879310344827624,4.798359535201624,1.1228693879555995
2024Q1,74.14,78.48,5.237757274662869,5.31400966183575,0.9856506871411032
2024Q2,75.2,77.73,5.8558558558558405,3.460668175163062,1.6921171171171072
2024Q3,76.88,79.62,4.7696920141728105,5.136669747788192,0.9285572653812524
2024Q4,77.79,78.68,6.0531697341513535,2.6350117401513273,2.2972078802972327
2025Q1,78.88,80.28,6.393309954140802,2.2935779816513735,2.787483140005393
2025Q2,77.45,81.36,2.9920212765957466,4.6700115785411,0.6406881923685608
2025Q3,78.81,82.4,2.5104058272632734,3.491585028887223,0.7189874531176307
2025Q4,79.35,83.25,2.005399151561882,5.808337569903399,0.3452621558969126
2026Q1,79.27,84.08,0.49442190669370945,4.733432984554065,0.10445313334044991
