quarter,gdp_yoy,yoy_source,gdp_qoq,qoq_source,note
2016Q1,4.94,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,,,qoq 2016Q1 pending; yoy is 2018-vintage revision (original 2016 release printed 4.91 per OJK Q2-2016 report)
2016Q2,5.21,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,,,qoq 2016Q2 pending; yoy is 2018-vintage revision (original 2016 release printed 5.18 per OJK Q2-2016 report)
2016Q3,5.03,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,3.14,https://tradingeconomics.com/indonesia/gdp-growth,
2016Q4,4.94,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,-1.77,https://www.bps.go.id/id/pressrelease/2017/02/06/1363/ekonomi-indonesia-tahun-2016-tumbuh-5-02-persen-lebih-tinggi-dibanding-capaian-tahun--2015--sebesar-4-88-persen.html,TE chart shows -1.81 here; original BPS release -1.77 wins
2017Q1,5.01,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,-0.3,https://tradingeconomics.com/indonesia/gdp-growth,
2017Q2,5.01,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,4.01,https://tradingeconomics.com/indonesia/gdp-growth,
2017Q3,5.06,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,3.19,https://tradingeconomics.com/indonesia/gdp-growth,
2017Q4,5.19,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,-1.7,https://tradingeconomics.com/indonesia/gdp-growth,
2018Q1,5.06,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,-0.41,https://tradingeconomics.com/indonesia/gdp-growth,
2018Q2,5.27,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,4.21,https://tradingeconomics.com/indonesia/gdp-growth,
2018Q3,5.17,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,3.09,https://tradingeconomics.com/indonesia/gdp-growth,
2018Q4,5.18,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_TW_IV_2018.pdf,-1.69,https://tradingeconomics.com/indonesia/gdp-growth,
2019Q1,5.07,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_Triwulan_IV_2019-pdf.pdf,-0.52,https://tradingeconomics.com/indonesia/gdp-growth,
2019Q2,5.05,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_Triwulan_IV_2019-pdf.pdf,4.2,https://tradingeconomics.com/indonesia/gdp-growth,
2019Q3,5.02,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_Triwulan_IV_2019-pdf.pdf,3.06,https://tradingeconomics.com/indonesia/gdp-growth,
2019Q4,4.97,https://perpustakaan.bappenas.go.id/e-library/file_upload/koleksi/migrasi-data-publikasi/file/Policy_Paper/Laporan_Perkembangan_Ekonomi_Indonesia_dan_Dunia_Triwulan_IV_2019-pdf.pdf,-1.74,https://tradingeconomics.com/indonesia/gdp-growth,
2020Q1,2.97,https://www.djkn.kemenkeu.go.id/artikel/baca/13287/strategi-kebijakan-pemulihan-ekonomi-nasional.html,-2.41,https://tradingeconomics.com/indonesia/gdp-growth,
